Team,PtDiff,Offense,Defense,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Troy,92.6634184185,98.7380509503,94.447024145,99.6361984638,99.3856114468,99.5908562986,99.1145138154,99.4459518288,99.0692415778,100.315315438,99.6131438629,101.204973782
Towson,99.6600442857,97.9709782962,101.204299403,98.9083862509,99.6481442258,102.757533271,100.548900866,99.8188855917,98.4117089075,99.6564833636,104.017891838,100.305395192
Toledo,102.985891434,102.650785484,98.1991705951,100.790136162,100.93053931,99.3890171093,98.6208594087,98.7363434815,101.52400558,99.1418103606,98.5030337833,103.345564716
TN Martin,94.3828731629,96.0088303535,98.1270658717,100.060159827,99.8036602386,99.6385903041,98.4515305113,100.342760478,98.2129232533,99.4077105707,98.2637780889,101.832241375
Iowa,119.379862191,108.71727308,105.280517034,101.616644253,102.256045935,100.475309778,101.869503574,98.4182403486,102.696997706,100.895571394,99.8154798956,104.028162776
Iowa St,115.651549586,111.134296228,100.200941547,100.867896241,102.564318392,99.4789353256,100.701410236,98.3753915665,102.553401505,100.63877308,96.5078766079,106.162214555
IPFW,101.8924403,103.436554895,97.1102798253,102.402578251,101.049422587,99.0191362012,99.8357171769,99.5833565886,101.879318371,99.3941501407,99.6113257953,101.262356482
IUPUI,96.3853900665,96.7691550934,99.0843185545,99.2297999191,99.0976004853,99.5232956394,99.0182571451,100.478411151,97.7893883613,100.941634534,98.6781562677,99.6021899054
Portland,97.2302241357,103.395080211,94.2496001587,101.447362074,99.2000398786,100.287540624,100.515888419,100.444874023,99.8905103372,100.738534441,98.7534679892,96.3608082079
Pittsburgh,114.376404868,105.795180421,103.506549309,100.084794354,100.784787994,101.314184206,100.411446311,99.0181843249,103.28006524,99.2606620314,101.11694374,102.39947029
Indiana St,102.851249112,98.7654502941,102.006532977,99.8805180073,101.401507124,99.9553467152,99.3345386966,100.527084811,98.7301444928,100.152052784,102.403214909,96.8893142824
Iona,101.865254118,104.457441616,95.4006182299,102.231206015,100.656610809,99.5343601625,100.224978103,100.662428605,102.532417392,101.002850215,99.3961932685,98.4178273289
Penn,93.6286815329,96.4826401113,97.4124596822,100.739658106,99.1765648527,99.4548410359,99.0407064352,99.9482970615,100.355057405,98.0203918384,97.5172582261,100.34930353
Pacific,95.7599413473,96.0462632333,99.8012013905,99.7001209615,99.6278770686,99.179617496,98.8270752926,100.74015331,99.3309338531,98.7858815264,98.7563347357,96.1869982827
Pepperdine,102.843018867,99.6560922119,102.212153365,98.1596395923,100.480654396,100.370418117,99.7274939973,99.3781539122,100.719719367,100.220671548,100.765599401,101.235525897
WI Green Bay,102.119892829,110.177382634,93.3229578582,100.350159997,100.15356208,101.34488464,100.651673076,99.7119542911,100.735852026,102.557283897,104.697158264,98.051446896
Oral Roberts,98.5539948206,101.591022104,97.0644333935,99.4980598478,100.116376088,99.6315838316,100.438518021,99.8685246155,99.1216837741,99.2136732203,100.718669137,102.052562745
Jacksonville,93.5583871801,98.4979201674,95.4530055729,101.770676646,100.570018847,98.8501756356,99.3135126094,99.077114732,98.9951641955,99.7184280196,97.386810124,100.792057429
Oregon St,107.389304537,101.501235133,103.349957568,99.7242051351,99.6398466496,100.334629188,100.120363918,99.3774786308,101.452723275,100.853205479,100.533545219,100.325138067
Oregon,115.055728139,107.079202246,103.895998617,100.007721297,100.86083076,100.853340507,101.957145518,99.9117468432,101.040094258,101.077102174,101.862094608,102.740006622
Wake Forest,103.712721836,103.493190317,97.5282128397,99.2747487908,102.202940641,101.356378207,100.991000906,101.870160506,100.624472166,100.050404117,104.870978886,99.6604536785
James Madison,107.134054711,99.1804312745,104.022341202,101.609408972,102.108573538,100.087121852,99.3527786547,99.0702214915,99.1483525778,98.2668086985,99.8912874651,100.501939551
Jacksonville St,91.7285251374,94.2515715668,98.2519313651,100.238199429,95.5606860071,99.1223147115,99.1668060471,98.3164329946,98.315849477,99.1917049228,96.2765168421,98.6039331186
Kansas St,110.561275618,99.9158948674,106.409980275,98.3869127787,100.240334647,102.475781816,99.4985076747,99.9414269951,100.741618016,101.272617501,101.728113469,100.639297654
Kansas,119.109240254,108.865666217,104.017867563,101.076472313,102.696151094,100.147084851,100.442086939,99.5034905564,102.441756328,101.018032657,101.142303922,101.29672033
Kent,100.110179924,99.6145544301,99.4985061344,98.3014714294,99.5263791476,101.843694624,100.199149112,99.6350981607,98.8523200856,99.5006087976,102.623908202,101.417344121
Kennesaw,90.9643710506,96.5233515659,94.6982781636,99.2963170335,98.4088810429,99.5166218178,99.6610622065,100.016722557,98.8030260564,100.457001345,97.9982983797,98.9004516743
La Salle,91.6891289577,94.3696890683,98.38524903,101.37981621,97.0918076563,98.4593599882,99.470522081,99.5334779302,99.3152628481,100.762053815,95.7504200197,100.354747261
Kentucky,114.891167391,106.005759672,105.122081824,99.0110475017,101.030164789,101.994972645,101.888792294,99.6336540267,100.703073367,100.121444272,101.291150407,98.9601805898
Lamar,87.1469234719,97.8592042182,92.1638917072,99.4056712138,99.7209968243,101.307990118,100.2625264,101.872339311,99.1994641644,100.278973312,102.894031194,96.4540755082
Lafayette,87.5451011386,97.8839851764,90.9030444525,100.751243082,98.5341427487,98.2264862386,98.8008738597,100.291869769,100.721573695,99.478806222,98.1746267237,99.9376798183
VMI,87.3460168483,91.8345257597,96.5298761435,101.24249369,97.5194980437,99.9359539827,99.7370679956,99.6274185137,97.7800960338,100.17447316,92.1829480556,98.2220459765
Florida St,111.321074889,106.203282828,101.424000087,99.3126204598,101.672791279,101.095289677,100.869325299,101.162313646,100.426794742,101.065196958,103.706255472,100.223830632
Florida Intl,96.8220135268,96.2715023273,100.031138142,99.0558734559,100.264181922,98.6889363129,101.061108357,99.8753582832,98.8397548677,99.1854248282,98.5061788587,101.084209235
Evansville,108.17301309,102.95045382,101.710200511,98.0268219354,101.655597453,97.4740670518,100.601790849,100.339199612,104.167287667,99.5315575953,102.223740013,102.130609128
ETSU,99.7615338633,100.874158253,97.5481569134,100.587249226,98.8333289655,100.12781337,99.6781761128,98.6278518606,99.2302023151,100.441508204,98.4237544188,99.936371693
Fairfield,97.4136991256,101.990175445,93.2960279028,101.659119801,100.710691241,98.4629955879,99.8784293835,100.43702444,101.760820604,100.151228752,97.512864748,99.116716498
F Dickinson,92.2696350717,100.420782293,92.6286316739,100.368144764,96.3048470655,99.6625771833,98.8457865832,99.9141561467,100.505814643,101.374257094,99.5037039815,95.0209096361
FL Gulf Coast,97.6283680878,98.487704359,99.0545993485,98.3738959258,99.8667032542,99.7253426479,100.313821653,99.8922035977,98.4367291985,100.191723907,98.2680248043,99.075217873
FL Atlantic,92.41444706,92.6321606883,99.9456503901,99.0746167723,99.7749445453,97.586578958,100.28615701,99.4764814595,98.4327647762,99.3002139114,98.6155041435,98.7255917258
Florida A&M,79.8835869165,86.9165592974,95.9220347325,98.4165516085,98.7832548519,98.7557872279,98.5407271948,101.977285963,96.7828056603,100.348356351,100.121972658,100.004928106
Florida,115.770207321,103.429707055,106.629698315,100.248998817,102.269561821,102.50129339,101.003482162,99.4720716762,100.623181805,100.940977082,102.003750108,101.265968302
Minnesota,99.8196765475,98.0741734323,99.7454355062,99.461171491,100.005230215,98.8197345302,100.438430806,98.9293059733,99.5141484659,99.7842060758,101.816932112,100.531638745
Mississippi,104.566927443,102.004023879,99.8169218277,100.109730521,99.4208795681,101.258803595,99.9439107723,99.4708028014,100.143132632,101.710164853,101.565214805,99.6045838292
Delaware St,80.5051397737,85.7474139301,97.6689339893,99.3545569874,96.9873464241,99.4975771435,99.6565318583,101.299745366,97.6691957221,99.904820572,96.3327320133,100.16881228
Delaware,92.5841079441,97.1368180253,95.7889220314,99.4894487238,101.21658559,100.833424843,99.7725087797,99.4507826,98.5778917165,98.3326055206,102.027477258,102.703147825
