Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
NE Omaha,47,72,23,60,61,47,54,42,67,44,70,95,49
Nebraska,60,49,59,55,29,63,76,59,53,31,57,54,63
Nevada,72,69,51,53,74,76,64,61,41,67,26,81,74
New Hampshire,53,35,59,30,57,70,41,9,36,32,3,36,67
New Mexico,57,53,47,22,17,62,39,48,62,44,40,88,55
New Mexico St,63,55,52,45,46,56,70,42,58,39,16,66,50
New Orleans,50,30,58,19,2,35,66,41,87,57,56,65,61
Niagara,36,43,35,57,53,57,60,57,47,33,28,45,61
Nicholls St,28,42,26,41,57,27,50,80,65,40,55,53,56
NJIT,33,34,39,41,58,41,60,31,67,29,41,45,46
Norfolk St,34,23,44,36,34,50,46,73,63,12,31,58,37
North Carolina,94,91,61,89,55,89,97,52,39,88,54,74,68
North Dakota,49,52,42,48,34,48,39,34,61,49,64,57,44
North Florida,38,46,33,49,64,57,69,57,84,33,23,46,44
North Texas,25,30,34,52,31,47,51,34,58,19,48,51,44
Northeastern,55,47,50,25,64,56,39,47,53,45,37,54,69
Northern Arizona,24,28,33,57,49,51,71,14,73,45,17,42,58
Northern Iowa,50,20,73,11,45,36,11,32,27,14,51,35,91
Northwestern,76,50,76,54,51,67,60,75,22,63,29,46,51
Northwestern LA,31,45,26,44,40,38,56,29,75,43,50,71,38
Notre Dame,82,75,63,59,70,62,43,55,13,66,60,36,79
Oakland,61,55,50,54,44,69,54,60,61,57,65,70,66
Ohio,63,57,52,58,71,72,44,33,46,41,31,42,55
Ohio St,67,57,58,33,44,74,48,53,58,49,29,65,67
Oklahoma,67,59,61,63,35,72,69,79,44,27,61,68,57
Oklahoma St,86,97,49,75,71,52,80,48,47,65,63,81,32
Old Dominion,57,15,77,33,19,47,78,70,32,42,44,42,57
Oral Roberts,39,49,33,58,41,55,41,39,38,47,31,42,59
Oregon,89,69,75,35,61,65,54,95,56,69,51,51,87
Oregon St,34,20,54,5,31,43,40,55,81,26,35,37,44
