Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Temple,105.810813371,98.8601766783,104.323556474,102.005906367,100.479234522,101.354649268,99.9951019425,100.000565897,97.3668618301,100.383985242,99.343672569,97.6514704922,103.421627244
TCU,102.499403056,98.795373251,101.873655706,99.626014861,99.1607570772,99.8607814926,100.067384499,100.345468801,100.262224178,99.6127410144,100.468041085,102.437449837,99.5560349771
TAM C. Christi,99.2498191368,98.7285576834,99.5219695712,101.283968338,99.4840545342,98.0400978141,100.462768147,100.640171105,99.1782476426,99.0672278592,102.8532918,100.178087511,97.7230280154
Syracuse,111.37967505,100.522657451,107.058353495,98.8684649378,101.340788998,100.246949159,100.940635108,100.550069173,99.5833911786,101.041650848,101.68323161,100.012749913,103.703988147
Stony Brook,105.91841921,99.5756722999,103.201153115,100.244719214,99.6743516644,100.858680779,100.697109515,100.66550678,99.6528293632,101.871723112,99.7405665268,98.7413493341,105.251407302
Loy Marymount,96.1751954415,98.4885565692,98.6694621956,102.351382484,100.180187813,98.2626601893,100.258198572,99.4727451878,99.7842063692,101.588727023,100.632063641,96.7496867183,98.3617081262
Loyola MD,91.2613917902,95.8179111789,96.1117888332,99.0783549597,98.9193499089,98.7639358917,100.105422035,99.825225933,100.213680446,98.5430437344,99.3393021627,100.036453844,98.4045547033
Edwardsville,89.8964246493,92.635325451,98.7104082359,99.3443778271,98.669576329,98.2542351457,100.78425236,100.263475435,100.491476612,97.2974073351,99.2714398112,99.876876383,98.0181941841
Elon,100.022866629,102.735310463,96.3383446119,103.219424714,102.110698291,100.887207323,100.106868777,99.0167970439,100.226082767,101.600990196,99.5777660118,98.524299583,100.626125527
E Washington,96.8670349174,103.142165308,93.9148142171,100.22516867,102.070744492,98.8244470615,98.5261004932,99.9824479344,99.4164680648,99.1583801912,99.2540135617,99.5482838882,99.1484548437
East Carolina,98.7630022566,98.0325185841,98.9741864133,98.4466294113,100.141317085,99.9170193454,99.4381067378,98.9246949131,100.676572745,101.576492413,99.7038357224,98.6804862338,103.750352283
E Kentucky,97.4596532386,103.400468453,92.6003769932,100.803010785,101.10660948,98.1929654347,98.4888823535,99.6780323719,101.436614688,101.505877765,100.803724623,99.8953914658,97.096830735
E Michigan,100.475772757,101.566821568,97.9534028063,100.292895612,99.1082488956,98.6587418805,100.662081795,100.112108477,100.265570261,98.2782281419,102.049457555,103.324315337,97.4193670979
Duquesne,100.293316358,104.132614002,95.4837894295,102.302517156,101.981253985,102.321901407,99.5283540707,100.292794944,101.109920803,101.345362377,99.4386294968,99.038119983,98.5063535195
E Illinois,92.5988639945,95.4877544169,97.1295067623,99.748460559,100.292305168,97.9282366875,99.1895650802,98.8403524134,99.5532364208,99.6752140612,99.9934456609,98.2778147511,98.5452862626
Drexel,95.0170362976,93.433996104,101.103064311,98.5356007478,99.0790963997,97.9128151249,99.6516912944,99.85563508,99.0235151763,99.7958411637,99.0219775365,100.724634717,98.3523575366
Duke,117.405893064,108.483745864,103.133451339,101.241289046,102.025975382,100.827413243,100.993018611,100.768764656,98.0637401603,100.946166478,100.138030516,103.322220795,105.243862902
W Michigan,98.472539537,98.8639856381,98.635440718,99.2294594286,99.0302521069,100.248485007,100.421385717,99.4499506819,99.9460272355,98.5638323558,99.6546877982,102.391052615,99.6401732694
Coppin St,86.3853527557,96.1451680784,93.7518344939,102.348212087,100.096346079,98.814288315,100.8127253,99.5836646028,99.6707716834,97.6871315204,99.7859962531,100.786649966,97.388531287
Cornell,91.7230755172,99.0862112555,93.7851757633,101.634755767,101.412675675,99.2426442691,98.0637468877,100.003667775,100.681769262,98.3993653639,100.854080898,99.2038362526,99.9270266799
Creighton,110.838718981,105.546318462,100.641088378,101.418557983,100.925121665,102.47727264,98.7381919804,99.9388487993,98.7756702748,101.485598436,99.87976258,101.093699724,101.864812851
CS Bakersfield,103.406720996,98.4352258949,104.213106623,100.162349303,98.3734365789,100.370253038,100.956095336,101.189175798,100.204897329,100.837754274,100.919845803,100.093353084,97.9732230809
Georgia St,98.4082446462,93.4448113253,103.905186726,97.6905140368,98.060077158,97.5118156727,97.9949725328,99.488174657,99.0468855593,98.9743191656,100.724780362,98.4282060497,99.7876362746
Georgia,107.677108376,100.21888515,104.72002163,98.4593936419,99.6142611127,102.755279949,100.602047133,101.507258507,100.136341468,99.644011611,99.4091236778,102.4679864,99.2505942873
Columbia,102.969027619,100.24459757,100.930412451,97.2996874284,101.97849865,98.9107175925,98.5009928596,99.5754534592,98.6144008885,100.411375332,99.7687961091,100.179949157,101.58657423
Connecticut,114.091982466,101.858550365,107.350427879,99.1745916631,100.040283196,102.03715419,98.8986802694,101.05845073,99.1657119446,100.721064522,99.6843118894,97.6541590976,101.234835436
Gardner Webb,95.1696320763,97.5036541461,97.5479794452,101.712376974,100.636256472,98.9780170599,100.807414756,99.7253985923,100.510090957,99.0334304362,100.947509332,99.8729399662,98.1248502044
Ga Southern,95.8761224756,99.2520263836,96.6595888981,102.31406117,100.857824205,98.1296878923,100.361530579,98.8260815659,98.8138032718,97.7432162471,101.039561177,101.05658848,97.8795997103
Georgetown,108.081578882,102.209535048,102.333943685,98.8123925799,100.920887439,101.701395165,98.9804770851,101.109644431,100.088142638,101.611660858,99.4289619105,101.036244466,95.9749020238
George Mason,97.1615654924,96.6989922362,99.4795199715,102.350780935,98.8073177631,103.497384895,102.154980665,100.241447077,99.806468632,97.8481613615,97.4517257711,99.6147878836,102.099266952
Fresno St,104.085933398,101.491008893,101.416509151,101.381764314,99.3498471341,100.676546966,99.9962052856,100.18780673,98.8959109769,100.079297735,101.142695814,101.110913636,98.101871388
Georgia Tech,109.753450986,102.624403218,102.769270797,102.312356884,99.1979610782,101.650788232,102.304622201,100.713511495,98.8083606272,100.391330561,98.9968259635,99.6503743957,101.946885767
G Washington,108.36362324,102.450900902,102.790694908,99.3688665284,99.915925171,100.766351225,100.657845081,100.095974644,99.3751179108,100.537483949,99.9188975608,101.866263196,103.933838582
Furman,99.1964817951,96.6668716198,101.174689208,97.6634590999,100.189246995,98.3209305488,99.8667340531,99.5315340448,99.844854891,98.9106132975,100.045958049,100.61717835,99.0901757202
Gonzaga,114.897274917,105.704354071,105.174961981,100.191715007,100.300152842,103.120393828,99.8608776099,99.6693746781,99.4348702858,100.768705098,99.3010391142,99.4410740884,102.431246184
Wagner,97.1262655307,93.9133754774,102.954756584,100.630752442,99.3727918553,99.4326305234,101.534501476,100.293985128,100.02365931,99.4106906852,100.413794738,97.5611240288,97.938789651
American Univ,88.5796957236,86.0170912516,103.239241317,91.7305917332,99.6532518935,96.5426609621,96.9152692825,98.7555522703,100.755387119,98.6256256582,99.7149211054,95.6722552995,100.404089883
Navy,96.9823382542,93.5639705374,103.160765534,96.0685650072,97.8767094408,99.0496463602,99.9316308021,99.9731844233,100.71255348,99.8274501919,99.6934215661,101.337942429,99.4811764441
NC A&T,84.8469069586,93.1054011645,94.3642599753,99.7086118463,99.1592727477,98.4086384311,99.7567395148,98.8645735694,100.592331167,96.9714470237,99.3843739999,99.1444292926,96.5407345613
WKU,98.4697611385,100.518720752,97.7915501102,98.4993459118,99.6898562321,100.295960946,100.226908171,100.213341297,100.648425791,99.6994164713,98.4027503799,100.619205895,101.994739584
W Illinois,95.224666105,96.6600405011,98.9141993236,100.110856484,100.131563678,100.609159809,98.1927519063,99.4726678008,99.6758603615,99.8793856954,99.842638074,97.784372097,97.789846185
Arkansas St,94.0128651802,99.5408041168,94.6475410625,102.652680843,98.7686002912,102.391708996,100.269790391,100.485557346,99.9127944584,99.097630478,99.5388477331,101.368149343,97.9956734474
Arkansas,108.52312583,104.09299471,100.554297372,102.009103731,99.7065081825,100.292275923,100.07539694,101.542386804,98.6748252602,102.502753506,101.150020978,101.927949047,97.9956002223
MTSU,102.337154195,98.0201863964,102.839385233,99.4287494679,100.697756465,100.987333594,99.4816573133,100.072898992,99.461934431,99.928461595,100.285617727,99.3598111555,97.8333289681
Murray St,99.09420898,96.8104094877,101.639841488,98.5237666527,100.235883086,97.9475384199,99.0179399411,98.7507634905,99.1682980699,100.330689829,99.8996780636,97.6877769231,100.200811959
MS Valley St,83.4102066309,93.2969881798,93.2727670381,103.292047323,98.3449601796,98.7163389267,100.152373751,98.9560169454,100.111219941,97.4884111927,100.523110783,97.7592424618,99.8486294327
Mt St Mary's,92.8396805356,94.1207343731,99.4679464013,101.130301754,100.267271656,96.3202126827,98.7758615546,100.083403255,99.7075406623,98.157508537,101.046867769,97.497170201,100.021478338
N Illinois,99.675073904,97.2489404866,101.795270232,99.5009027074,100.01311661,100.456866359,101.14998288,99.9901542284,100.542976296,99.610349061,100.944205597,101.372633497,99.0275332456
Rider,96.7132055193,93.1784813629,102.577310064,97.2077043815,99.7467210725,99.5815003078,98.826304608,100.09955226,100.023104024,99.5585627835,99.7208679209,97.9907157341,102.194841367
Washington,109.436691515,109.951300045,96.6505424468,105.577526428,100.424435019,101.599790203,102.263941408,102.788802465,101.438691174,101.359694507,101.136172125,105.039611164,96.1456505199
N Dakota St,100.498597459,94.5702670465,104.739671716,97.8353307173,99.7080102347,100.177418926,98.2176737464,100.060838789,98.5703209474,97.7926082624,99.8797707567,98.1795602686,101.894043142
High Point,101.346999405,100.751015748,98.9960099515,100.016685234,98.9919245193,97.4094681014,99.7236181522,99.3236195835,98.4877959882,100.667905399,101.059610066,98.4664372989,101.108866445
W Carolina,97.0836498698,97.0352853352,98.3641448813,100.866210626,100.160648027,98.1570658406,100.450517723,99.4839112819,100.324340137,99.282688713,101.394990262,100.101835861,96.9779099645
