Bottle v0.12.13 server starting up (using WSGIRefServer())...
Listening on http://0.0.0.0:80/
Hit Ctrl-C to quit.

/home/skellert/anaconda2/lib/python2.7/site-packages/bs4/__init__.py:166: UserWarning: No parser was explicitly specified, so I'm using the best available HTML parser for this system ("lxml"). This usually isn't a problem, but if you run this code on another system, or in a different virtual environment, it may use a different parser and behave differently.

To get rid of this warning, change this:

 BeautifulSoup([your markup])

to this:

 BeautifulSoup([your markup], "lxml")

  markup_type=markup_type))
165.225.0.75 - - [07/Apr/2017 15:40:16] "GET /masters HTTP/1.1" 200 26792
165.225.0.75 - - [07/Apr/2017 15:40:17] "GET /favicon.ico HTTP/1.1" 404 741
67.164.229.210 - - [07/Apr/2017 15:40:35] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:40:36] "GET /static/score_graph.csv HTTP/1.1" 200 2864
67.164.229.210 - - [07/Apr/2017 15:41:07] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:41:08] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:41:39] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:41:40] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:42:12] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:42:13] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:42:44] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:42:45] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:43:16] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:43:17] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:43:48] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:43:49] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:44:20] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:44:21] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:44:52] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:44:53] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:45:24] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:45:25] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:45:56] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:45:57] "GET /static/score_graph.csv HTTP/1.1" 304 0
165.225.0.75 - - [07/Apr/2017 15:46:10] "GET /masters HTTP/1.1" 200 26792
165.225.0.75 - - [07/Apr/2017 15:46:10] "GET /static/score_graph.csv HTTP/1.1" 200 2864
67.164.229.210 - - [07/Apr/2017 15:46:28] "GET /masters HTTP/1.1" 200 26792
67.164.229.210 - - [07/Apr/2017 15:46:29] "GET /static/score_graph.csv HTTP/1.1" 304 0
165.225.0.75 - - [07/Apr/2017 15:46:41] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:47:00] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:47:01] "GET /static/score_graph.csv HTTP/1.1" 304 0
165.225.0.75 - - [07/Apr/2017 15:47:05] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:47:32] "GET /masters HTTP/1.1" 200 26799
165.225.0.75 - - [07/Apr/2017 15:47:33] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:47:33] "GET /static/score_graph.csv HTTP/1.1" 304 0
165.225.0.75 - - [07/Apr/2017 15:47:39] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:48:04] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:48:05] "GET /static/score_graph.csv HTTP/1.1" 304 0
165.225.0.75 - - [07/Apr/2017 15:48:08] "GET /masters HTTP/1.1" 200 26799
165.225.0.75 - - [07/Apr/2017 15:48:09] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:48:36] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:48:37] "GET /static/score_graph.csv HTTP/1.1" 304 0
165.225.0.75 - - [07/Apr/2017 15:48:40] "GET /masters HTTP/1.1" 200 26799
165.225.0.75 - - [07/Apr/2017 15:48:41] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:49:09] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:49:10] "GET /static/score_graph.csv HTTP/1.1" 304 0
165.225.0.75 - - [07/Apr/2017 15:49:12] "GET /masters HTTP/1.1" 200 26799
165.225.0.75 - - [07/Apr/2017 15:49:12] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:49:41] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:49:42] "GET /static/score_graph.csv HTTP/1.1" 304 0
165.225.0.75 - - [07/Apr/2017 15:49:44] "GET /masters HTTP/1.1" 200 26799
165.225.0.75 - - [07/Apr/2017 15:49:45] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:50:13] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:50:14] "GET /static/score_graph.csv HTTP/1.1" 200 2912
165.225.0.75 - - [07/Apr/2017 15:50:16] "GET /masters HTTP/1.1" 200 26799
165.225.0.75 - - [07/Apr/2017 15:50:17] "GET /static/score_graph.csv HTTP/1.1" 200 2912
67.164.229.210 - - [07/Apr/2017 15:50:45] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:50:47] "GET /static/score_graph.csv HTTP/1.1" 200 2912
165.225.0.75 - - [07/Apr/2017 15:50:48] "GET /masters HTTP/1.1" 200 26799
165.225.0.75 - - [07/Apr/2017 15:50:49] "GET /static/score_graph.csv HTTP/1.1" 200 2912
66.249.64.48 - - [07/Apr/2017 15:51:05] "GET /syxyppraun.html HTTP/1.1" 404 762
67.164.229.210 - - [07/Apr/2017 15:51:18] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:51:18] "GET /static/score_graph.csv HTTP/1.1" 200 2912
165.225.0.75 - - [07/Apr/2017 15:51:20] "GET /masters HTTP/1.1" 200 26799
165.225.0.75 - - [07/Apr/2017 15:51:21] "GET /favicon.ico HTTP/1.1" 404 741
67.164.229.210 - - [07/Apr/2017 15:51:50] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:51:50] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:52:22] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:52:22] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:52:54] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:52:55] "GET /static/score_graph.csv HTTP/1.1" 304 0
165.225.0.75 - - [07/Apr/2017 15:53:08] "GET /masters HTTP/1.1" 200 26799
165.225.0.75 - - [07/Apr/2017 15:53:08] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:53:26] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:53:27] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:53:58] "GET /masters HTTP/1.1" 200 26799
67.164.229.210 - - [07/Apr/2017 15:53:59] "GET /static/score_graph.csv HTTP/1.1" 304 0
67.164.229.210 - - [07/Apr/2017 15:54:30] "GET /masters HTTP/1.1" 200 26799
