Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
CS Northridge,23.41,70.69,14.56,61.87,10.32,49.16,45.7,38.87,64.62,50.63,63.85,83.99,27.71
CS Sacramento,19.59,28.31,39.64,41.75,15.05,44.7,41.04,66.08,34.71,50.74,26.21,51.32,66.45
Dartmouth,15.85,32.53,36.15,29.24,60.37,46.88,36.85,15.93,79.11,42.8,23.74,40.68,61.8
Davidson,69.95,67.57,66.31,63.79,81.62,74.28,32.7,53.24,37.92,79.96,44.03,40.55,67.86
Dayton,85.83,76.62,78.86,40.4,71.49,67.7,28.16,60.56,40.78,81.79,74.86,72.91,63.61
Delaware,23.08,19.23,54.31,39.36,26.2,57.95,50.29,47.3,46.16,37.46,42.26,43.17,50.47
Delaware St,9.14,18.25,30.69,45.82,56.36,15.11,42.65,34.74,58.8,44.9,44.48,35.62,47.79
Denver,44.13,54.99,45.15,32.7,43.24,58.02,33.52,25.53,59.35,68.75,28.23,53.37,50.61
DePaul,40.02,43.72,58.0,44.05,33.31,36.82,57.57,44.3,69.44,34.9,63.23,54.79,47.54
Detroit,18.82,65.93,12.76,63.77,66.05,34.15,53.89,27.22,76.11,50.46,60.26,77.83,20.96
Drake,25.0,52.65,30.82,79.83,73.35,43.83,49.56,30.9,40.48,54.2,60.02,35.22,70.41
Drexel,28.84,61.09,28.56,75.13,60.95,51.85,72.5,42.9,67.35,70.12,54.45,55.97,41.14
Duke,94.17,92.01,81.19,56.61,69.54,76.09,52.73,83.05,31.98,66.29,52.24,75.09,76.52
Duquesne,36.46,49.17,43.54,64.51,51.05,62.61,61.15,63.86,66.64,40.36,33.1,58.26,59.47
E Illinois,36.74,41.36,51.08,82.46,68.36,40.08,70.55,57.46,47.09,66.28,61.37,24.68,44.82
E Kentucky,26.69,35.09,42.64,43.7,48.83,32.18,35.31,55.49,60.17,54.13,46.23,46.91,42.93
E Michigan,50.28,57.24,51.56,72.04,31.66,30.31,80.29,67.57,42.98,56.27,86.47,67.72,21.38
E Washington,44.3,59.57,42.26,43.1,53.07,54.76,33.74,75.58,49.09,38.48,22.21,48.35,48.43
East Carolina,48.43,29.06,76.54,33.65,29.36,76.26,62.52,90.35,74.09,44.02,35.9,63.14,78.51
Edwardsville,14.72,29.38,33.77,51.09,12.43,38.52,73.9,35.38,66.05,25.39,32.84,83.06,22.12
Elon,56.88,51.45,62.57,59.05,84.4,85.27,35.9,25.58,45.93,66.46,32.62,41.12,80.53
ETSU,79.85,71.72,70.02,41.13,55.96,62.02,42.31,81.85,77.52,68.4,84.52,71.42,42.95
Evansville,50.83,44.56,69.86,23.79,8.4,49.39,33.02,39.8,40.07,60.95,40.43,75.85,40.62
F Dickinson,28.33,56.32,26.95,58.15,44.69,29.09,40.96,22.89,49.95,50.86,61.03,59.88,28.2
Fairfield,40.72,42.89,53.84,65.1,76.98,73.08,29.98,35.24,55.34,69.62,39.91,27.11,62.48
FL Atlantic,24.86,36.13,39.37,71.83,35.62,51.25,59.01,47.84,42.62,37.45,38.64,46.93,50.92
FL Gulf Coast,65.8,56.11,67.7,47.21,32.22,56.74,62.25,51.78,54.12,54.95,33.79,43.51,58.19
Florida,95.68,86.85,89.54,64.83,64.73,74.43,67.85,90.74,34.58,67.63,84.79,80.79,74.54
Florida A&M,5.52,26.43,16.58,55.69,22.97,30.37,33.87,43.97,57.02,26.96,49.39,64.21,54.63
Florida Intl,23.3,31.25,45.73,39.76,21.73,30.93,47.93,28.65,55.33,28.25,43.24,26.75,56.81
Florida St,92.22,91.04,74.53,76.35,45.0,76.21,69.32,90.29,41.86,71.93,78.96,79.83,50.78
Fordham,42.2,18.97,78.02,31.61,68.67,15.89,23.82,38.63,54.46,48.33,94.25,18.12,54.15
Fresno St,67.54,54.91,68.61,30.82,36.44,61.75,40.3,54.44,63.71,42.43,81.72,72.82,39.19
Furman,66.37,54.34,71.94,37.06,79.67,54.93,31.82,26.94,48.48,68.87,59.61,34.5,59.81
G Washington,57.1,51.9,63.11,40.69,65.58,62.64,61.98,68.09,55.77,58.61,42.15,53.5,81.6
Ga Southern,51.41,65.68,41.75,49.3,78.74,55.62,39.64,48.01,40.49,26.14,64.95,70.69,51.35
Gardner Webb,45.56,59.7,47.06,42.31,33.11,59.27,53.54,59.53,69.79,63.66,78.4,84.33,32.29
George Mason,61.49,66.48,56.8,58.08,26.43,82.56,63.78,34.97,49.17,38.36,33.33,68.57,73.2
Georgetown,73.38,70.01,71.86,31.2,39.53,74.59,42.28,81.2,61.05,75.84,40.23,76.16,48.4
Georgia,79.63,61.66,80.43,36.9,19.2,83.22,46.27,74.2,46.1,64.11,47.77,72.74,72.08
Georgia St,57.92,52.49,60.79,55.68,50.25,54.05,51.64,72.18,65.43,40.6,68.48,45.57,47.74
Georgia Tech,70.13,36.08,89.08,39.47,12.67,75.44,44.85,93.78,67.55,79.21,64.02,58.35,83.17
Gonzaga,97.0,92.99,88.76,63.53,56.57,93.46,45.41,72.42,48.77,84.38,73.37,64.82,78.33
Grambling,14.88,23.01,32.31,52.92,19.0,8.1,68.09,25.06,61.75,21.28,88.34,57.8,39.52
Grand Canyon,52.03,44.61,62.2,55.07,37.31,59.33,53.11,32.66,51.64,47.97,72.53,66.16,71.79
Hampton,17.47,22.95,47.4,57.29,31.62,32.36,55.56,59.28,64.73,28.03,28.33,43.32,36.45
Hartford,9.78,24.69,29.05,44.74,68.23,32.77,42.37,49.39,77.74,35.02,66.67,41.55,50.61
Harvard,64.43,55.4,68.58,45.88,69.46,61.68,46.87,72.17,62.06,68.85,46.94,42.32,38.91
Hawaii,26.14,23.76,56.81,35.82,40.74,24.26,40.46,16.88,76.91,52.91,24.47,42.59,54.33
High Point,28.88,28.37,52.11,30.5,35.44,37.3,39.8,41.54,57.74,39.06,42.33,48.74,63.94
Hofstra,45.21,70.37,32.26,70.6,80.22,45.13,71.2,23.12,27.59,56.59,28.89,66.7,78.96
Holy Cross,40.88,13.68,82.68,8.94,63.64,8.56,10.62,26.43,24.95,65.2,87.59,29.15,85.49
Houston,80.39,69.85,82.79,66.82,65.52,55.5,64.08,62.26,22.05,51.46,38.85,37.07,63.35
Houston Bap,38.64,66.05,29.49,74.28,28.5,47.37,79.33,27.04,59.9,64.38,50.59,65.03,53.76
Howard,8.97,16.44,39.21,39.46,15.62,37.3,66.45,56.47,71.11,12.83,41.72,71.35,56.74
Idaho,34.09,37.11,55.76,40.02,48.25,54.4,53.88,30.27,54.71,47.44,22.35,66.37,35.29
Idaho St,10.28,35.63,18.81,34.18,56.76,22.22,21.94,28.89,66.52,28.85,69.95,57.42,61.88
IL Chicago,32.92,58.36,28.99,54.67,56.07,64.67,69.72,74.63,84.87,53.55,32.32,69.12,50.98
Illinois,75.25,58.75,81.86,42.91,55.52,62.18,40.79,28.98,47.17,62.31,41.83,50.24,83.26
Illinois St,82.75,46.71,90.23,46.96,64.29,75.52,54.83,72.73,43.55,66.49,73.68,39.74,71.7
Incarnate Word,17.07,59.97,13.03,50.25,57.02,50.56,22.53,74.18,49.69,39.99,35.06,77.79,42.41
Indiana,82.01,84.15,69.51,57.14,74.93,75.63,72.49,84.23,75.15,70.6,53.17,60.02,54.01
Indiana St,41.5,43.79,55.64,67.69,60.8,71.49,29.97,67.95,40.97,60.1,63.68,44.81,32.03
Iona,61.57,78.59,40.74,77.12,90.73,60.54,42.48,42.62,42.08,81.9,69.07,45.99,58.41
Iowa,74.13,85.49,51.82,71.8,68.52,69.31,68.4,63.29,64.22,92.04,74.31,71.51,78.12
Iowa St,92.08,87.65,80.64,77.8,86.55,61.77,33.62,62.87,10.58,84.87,83.06,37.97,87.25
IPFW,54.81,78.87,32.95,81.22,82.17,59.04,44.13,62.7,61.96,81.83,76.47,27.43,66.68
IUPUI,39.6,66.47,31.69,70.88,68.83,31.72,58.48,37.29,40.67,63.79,66.86,63.81,45.93
Jackson St,15.36,12.89,55.71,55.89,36.42,23.44,76.23,33.03,38.8,21.01,47.84,40.97,29.0
Jacksonville,24.29,44.74,32.14,31.5,82.37,23.81,30.93,13.47,62.89,42.52,75.49,48.69,51.49
Jacksonville St,49.77,37.51,67.65,32.64,48.55,58.92,53.17,62.57,59.04,66.75,27.9,42.26,60.83
James Madison,33.95,20.59,72.48,15.56,39.1,49.21,47.6,35.84,72.82,36.98,50.19,43.68,59.86
Kansas,96.11,95.94,76.75,79.87,76.55,84.45,76.9,84.38,44.18,91.22,77.99,72.78,74.84
Kansas St,87.08,65.23,86.58,36.71,52.78,47.2,41.41,69.49,42.64,82.67,87.64,66.15,78.74
Kennesaw,31.63,56.65,28.78,68.03,37.73,47.31,53.36,37.46,63.57,75.95,32.38,39.48,48.01
Kent,56.09,54.44,61.85,80.31,45.59,46.66,87.05,59.07,52.51,42.9,47.48,51.98,60.11
Kentucky,96.74,95.89,75.4,80.53,48.03,87.4,76.5,92.89,39.92,82.64,59.79,89.63,61.4
La Salle,55.25,74.72,38.92,39.63,78.48,45.92,26.32,24.22,55.08,65.02,64.09,55.0,64.79
Lafayette,13.86,30.57,23.5,48.99,59.18,48.28,18.86,34.37,67.68,53.87,26.64,31.62,64.03
Lamar,35.05,47.34,41.5,54.16,49.66,31.34,61.6,39.6,51.98,51.03,67.04,61.13,46.45
Lehigh,62.63,70.91,52.05,47.85,76.43,67.07,19.3,41.19,58.28,74.75,61.26,39.34,74.94
Liberty,35.57,18.76,75.43,10.38,76.1,24.79,4.46,16.75,26.91,45.29,45.57,34.25,52.75
Lipscomb,50.24,80.8,22.3,64.98,84.97,58.78,49.77,50.31,82.16,89.72,61.61,70.55,21.16
Long Beach St,34.75,57.6,34.29,64.35,37.86,41.31,70.01,39.56,71.94,64.54,38.27,64.46,47.28
Long Island,28.11,33.78,49.77,48.96,31.38,41.01,76.83,39.15,69.81,26.07,38.63,61.56,54.29
Longwood,5.42,26.47,12.5,42.4,33.27,32.26,18.37,69.57,84.12,28.81,41.5,27.24,54.5
Louisiana Tech,69.76,67.78,66.48,67.73,58.45,66.09,52.6,88.87,46.99,84.59,59.15,49.76,83.88
Louisville,95.15,84.92,91.43,76.52,55.3,84.33,83.51,88.23,33.37,68.25,73.29,71.96,53.01
Loy Marymount,49.61,43.93,62.45,51.44,53.09,31.67,61.02,63.41,73.62,71.88,74.64,38.99,44.74
Loyola MD,32.66,24.57,63.53,29.51,22.1,15.16,73.19,47.42,72.61,38.52,64.4,68.55,55.55
Loyola-Chicago,68.6,53.99,72.36,27.81,57.59,36.29,9.93,27.05,38.83,71.12,63.46,34.74,73.98
LSU,49.98,80.46,28.08,80.67,37.44,58.88,62.94,71.68,69.88,66.97,64.67,46.27,48.7
MA Lowell,21.61,70.01,13.97,63.98,67.48,39.02,39.2,15.21,81.56,82.65,38.8,42.55,31.85
Maine,9.86,21.46,32.65,56.94,42.35,51.41,51.21,15.84,60.48,40.97,32.87,38.71,54.34
Manhattan,23.89,36.15,41.51,35.93,47.61,33.59,51.85,48.64,79.47,27.7,67.95,69.32,14.96
Marist,18.33,35.98,30.3,31.65,66.68,40.36,18.08,29.91,44.42,31.29,29.25,56.67,44.39
Marquette,85.22,92.69,52.47,70.6,93.75,62.88,33.38,68.29,41.08,89.9,72.47,46.94,58.69
Marshall,54.89,92.96,12.5,89.95,85.58,75.13,47.38,73.97,50.37,87.32,50.95,80.38,46.31
Maryland,83.13,72.61,78.82,38.07,75.4,65.75,50.61,81.77,54.73,74.82,37.5,69.73,74.82
Massachusetts,53.19,54.81,55.2,67.43,47.7,64.65,53.31,82.61,77.62,82.92,77.89,51.98,30.13
McNeese St,16.03,33.03,27.57,56.25,36.4,50.34,41.69,51.35,60.77,20.78,33.48,56.07,43.28
MD E Shore,18.03,37.28,28.69,60.74,53.54,30.12,41.68,35.88,55.95,52.08,41.13,49.99,40.17
Memphis,66.8,62.1,64.12,64.6,17.09,53.53,63.44,81.85,35.52,77.78,63.56,68.53,66.82
Mercer,55.71,37.02,70.88,32.3,56.58,51.77,62.47,32.55,34.45,56.11,16.39,34.93,60.69
Miami FL,85.08,51.38,93.55,32.65,41.48,67.98,59.76,68.25,49.3,50.01,64.13,52.83,86.03
Miami OH,21.93,29.13,46.89,40.09,30.69,36.57,36.23,63.07,73.47,30.36,70.75,54.59,41.44
Michigan,90.34,76.21,89.91,22.19,82.93,35.77,19.99,48.74,15.34,72.68,51.59,43.25,88.72
Michigan St,82.37,64.39,84.53,28.15,67.33,84.01,40.93,86.32,69.09,92.15,27.31,55.44,65.09
Minnesota,87.16,75.48,82.03,66.76,34.63,89.01,64.77,95.83,35.99,81.24,51.48,77.78,79.61
Mississippi,72.27,83.71,52.73,67.88,59.24,77.79,76.48,78.64,62.86,59.86,68.74,80.51,54.01
Mississippi St,64.79,61.17,66.93,59.46,52.76,67.05,41.95,77.88,58.1,48.04,73.57,41.23,59.09
Missouri,43.8,47.08,66.68,61.45,41.81,65.4,54.89,35.42,37.1,48.27,60.7,66.88,49.75
Missouri KC,35.18,59.69,32.15,54.89,73.17,37.55,39.51,34.44,61.57,41.86,60.41,61.51,29.45
Missouri St,55.15,55.02,60.94,52.86,58.06,45.61,64.46,62.91,41.06,40.08,39.04,52.15,68.08
Monmouth NJ,74.21,81.35,53.85,79.86,78.66,71.97,59.16,77.66,48.72,46.56,71.08,74.0,45.9
Montana,42.45,50.43,49.0,49.39,42.77,38.54,40.93,43.94,36.6,50.43,46.09,47.34,36.75
Montana St,32.27,55.08,35.05,61.47,78.44,45.36,47.87,23.12,47.24,45.33,43.14,60.09,24.13
Morehead St,41.21,62.57,34.68,79.08,49.15,37.61,81.49,44.26,55.07,78.74,51.02,32.83,40.85
Morgan St,15.05,16.12,49.03,66.34,11.84,33.05,83.8,44.66,62.85,14.88,44.76,60.62,38.58
MS Valley St,8.2,38.7,10.34,78.72,20.93,26.73,68.63,24.64,60.0,40.68,68.53,50.48,39.56
Mt St Mary's,37.93,34.93,63.35,39.06,49.73,24.11,17.57,58.37,46.97,32.9,58.25,40.43,64.91
MTSU,84.48,57.24,85.59,52.81,37.03,54.53,46.71,43.1,29.95,73.54,66.89,34.04,61.76
Murray St,42.63,66.01,34.12,80.17,67.09,48.46,75.88,20.83,36.08,54.69,45.89,51.52,45.18
N Colorado,21.77,33.99,42.49,44.43,68.27,58.12,51.41,29.49,73.21,61.04,35.38,48.01,60.9
N Dakota St,48.67,47.84,61.3,34.46,55.16,62.67,26.56,61.53,37.63,39.42,54.47,65.04,73.96
N Illinois,38.62,30.1,64.41,42.68,13.36,47.47,71.57,27.62,66.32,21.82,52.85,65.75,52.1
N Kentucky,55.09,59.09,51.0,48.74,77.49,61.89,62.34,30.74,53.77,59.11,44.33,63.78,73.77
Navy,39.26,22.73,71.77,37.75,40.57,18.92,83.94,17.52,66.47,58.72,69.23,48.68,54.77
NC A&T,3.33,10.91,27.08,24.76,26.3,21.12,47.0,20.35,65.7,21.26,23.36,37.53,47.1
NC Central,55.67,43.88,67.08,51.07,39.57,56.69,48.09,46.58,48.41,49.4,52.94,48.56,79.18
