Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
S Illinois,50.54,44.51,67.87,50.52,21.62,33.0,53.12,61.56,33.88,41.29,69.51,54.97,71.61
Sacred Heart,18.53,45.08,26.18,66.73,35.11,51.76,62.27,30.32,84.42,64.85,64.14,51.87,57.26
Sam Houston St,36.23,40.55,49.24,64.91,23.79,51.87,68.17,34.28,67.13,60.36,61.29,64.71,26.49
Samford,54.84,68.23,46.9,46.66,62.37,56.76,45.71,27.72,52.02,79.47,53.03,65.24,58.54
San Diego,34.75,31.06,64.78,12.28,67.3,52.31,20.56,14.81,56.02,39.51,14.98,47.88,53.69
San Diego St,75.52,37.04,87.18,33.39,45.66,58.74,62.73,81.92,46.38,27.57,59.94,60.22,81.36
San Francisco,65.17,57.38,71.73,56.2,76.33,71.49,42.44,34.42,66.4,57.96,67.88,29.46,52.5
San Jose St,36.75,46.81,36.75,49.11,35.97,46.06,37.11,74.26,70.81,57.24,51.02,66.36,49.01
Santa Barbara,10.77,11.2,51.72,58.98,19.29,45.57,73.16,26.15,47.78,44.35,36.95,31.84,70.41
Santa Clara,54.79,33.34,79.53,23.93,84.26,41.73,12.16,18.59,33.7,67.34,35.87,15.25,66.15
Savannah St,19.14,86.52,3.16,96.1,95.83,71.25,69.89,42.26,72.53,83.47,83.57,68.57,41.21
SC Upstate,35.15,52.3,34.27,67.95,73.69,64.9,61.44,44.53,49.42,73.86,20.94,38.22,64.63
SE Louisiana,34.61,32.85,55.59,36.28,30.91,35.61,67.63,52.45,83.51,59.22,60.94,52.01,53.86
SE Missouri St,32.24,53.73,36.1,53.79,57.44,23.94,32.35,19.99,48.77,55.9,70.03,46.83,49.63
Seattle,25.06,23.35,55.15,19.87,67.07,49.7,12.32,23.97,75.74,70.46,51.59,35.01,55.97
Seton Hall,81.3,69.53,79.76,63.05,36.72,82.11,81.89,37.54,51.6,45.45,69.14,69.99,60.21
SF Austin,35.64,22.04,65.69,20.9,17.07,30.03,62.65,41.93,87.18,36.48,60.32,62.77,43.93
Siena,51.79,63.37,45.31,55.2,34.15,54.82,70.79,71.76,66.34,58.5,51.03,75.38,47.92
SMU,94.31,77.12,90.66,37.65,61.54,78.6,67.65,63.99,35.49,86.44,44.32,61.19,92.08
South Alabama,30.83,43.45,45.44,55.66,39.63,36.91,55.01,58.09,60.33,48.48,78.91,64.55,39.93
South Carolina,87.16,58.8,91.45,60.66,40.74,49.24,77.42,70.18,52.65,57.38,85.53,77.16,40.95
South Dakota,55.23,62.11,49.95,59.16,32.45,69.26,47.53,51.41,44.68,37.97,65.33,83.2,62.81
South Florida,20.34,32.44,41.53,40.03,21.76,52.9,55.51,70.17,90.57,49.8,49.07,44.31,42.32
Southern Miss,14.54,14.22,50.0,42.07,36.19,54.08,27.55,25.75,46.16,42.89,24.71,28.41,64.11
Southern Univ,16.5,37.45,25.17,58.31,13.11,48.72,77.52,60.59,57.12,25.22,37.34,66.23,38.84
Southern Utah,8.83,60.03,7.07,70.57,75.42,37.83,62.01,52.13,62.06,35.0,40.49,74.32,12.76
St Bonaventure,68.86,69.81,59.7,57.62,38.89,43.62,66.29,74.58,48.89,50.52,75.13,77.71,39.53
St Francis NY,4.88,12.07,36.33,73.86,48.3,18.03,72.27,35.09,32.68,14.71,60.22,47.22,26.01
St Francis PA,28.87,55.18,31.01,69.21,62.64,49.03,56.11,59.89,74.57,57.56,65.04,35.79,81.15
St John's,60.22,83.68,41.89,79.39,75.95,62.67,49.21,95.38,50.52,59.96,67.7,73.12,39.13
St Joseph's PA,47.18,49.5,56.94,63.04,27.56,55.26,63.25,61.05,35.15,36.36,33.81,73.73,64.37
St Louis,25.45,14.67,71.59,19.74,46.27,50.11,25.32,38.78,60.0,43.74,36.42,26.83,58.87
St Mary's CA,92.43,56.96,94.37,21.52,76.79,66.51,46.45,46.27,34.39,87.11,20.34,18.33,89.31
